timestamp,action,category,src,dst,size_MB
2025-08-07T20:12:07.522302,add,videos/exercises/explain,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 13)/Konstantin Kamynin/FIERCE! New ES Collection Streetwear 2013 Campaign.mp4,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/videos/exercises/explain/fierce-new-es-colle_explain_m01.mp4,29.21
2025-08-07T20:12:07.850429,add,videos/exercises/explain,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 12)/Ilya Generalov/StorySaver_generalov_ilya_59182869_850884685258654_7472259665195724923_n.mp4,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/videos/exercises/explain/storysavergeneralov_explain_m01_01.mp4,0.99
2025-08-07T20:12:10.400293,add,videos/reminders,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 12)/Valera Spark/valera_spark_36628823_242503036551901_1339441321407938560_n.mp4,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/videos/reminders/reminder_001_01.mp4,7.03
2025-08-07T20:12:12.051816,add,videos/reminders,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 10)/Maxim Sorokopud/arni_strong_2.mp4,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/videos/reminders/reminder_002_01.mp4,51.17
2025-08-07T20:12:12.159235,add,videos/reminders,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 12)/Ilya Generalov/StorySaver_generalov_ilya_51863482_300983430521948_5542607974041537962_n.mp4,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/videos/reminders/reminder_003_01.mp4,2.73
2025-08-07T20:12:12.644158,add,videos/reminders,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 13)/Vladimir Buketov/StorySaver_wlademarbergs_41163114_382121705734959_9073025381988551132_n.mp4,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/videos/reminders/reminder_004_01.mp4,1.58
2025-08-07T20:12:12.716685,add,photos/quotes,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 13)/Alexander Pecheliev/4liphipInstaSave (3).png,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/photos/quotes/card_quotes_0001_01.jpg,2.15
2025-08-07T20:12:12.725171,add,photos/workout,/Volumes/fitnes ai/russian models/Russian Models Nude (Part 14)/Artur Zinatullin/10408535_302826556545410_641678634997262079_n.jpg,/Users/alexbel/Desktop/Проекты/AI Fitness Coach/selected_media/photos/workout/card_workout_0001_01.jpg,0.05
