exercise_slug,exercise_name,archetype,reminder_number,type,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
calming-movements,Calming Movements,intellectual,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-BOY BAR/MSU-180630-BoyBar-HotGoGoDancers-3.mp4",MSU-180630-BoyBar-HotGoGoDancers-3.mp4,calming-movements_reminder_intellectual_1.mp4,20.4,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/calming-movements_reminder_intellectual_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/calming-movements_reminder_intellectual_1.mp4
calming-movements,Calming Movements,intellectual,2,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/FILM CUTSCENES/MSU-110316-HommeAuBain-5-AssShaving.mp4,MSU-110316-HommeAuBain-5-AssShaving.mp4,calming-movements_reminder_intellectual_2.mp4,19.59,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/calming-movements_reminder_intellectual_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/calming-movements_reminder_intellectual_2.mp4
calming-movements,Calming Movements,intellectual,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/BODYBUILDER MIX/MSU-101020-MuscledStudStripsJO-2.mp4,MSU-101020-MuscledStudStripsJO-2.mp4,calming-movements_reminder_intellectual_3.mp4,19.58,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/calming-movements_reminder_intellectual_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/calming-movements_reminder_intellectual_3.mp4
intuitive-movement,Intuitive Movement,bro,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-PUBLIC VOVEUR/MSU-140504-HotHungLatinoGoGoDancers-2.mp4",MSU-140504-HotHungLatinoGoGoDancers-2.mp4,intuitive-movement_reminder_bro_1.mp4,20.46,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_bro_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_bro_1.mp4
intuitive-movement,Intuitive Movement,bro,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/MATINEE PERVERT CIRCUIT PARTY & MILK BATH/MSU-150913-MatineeLasVegasFestival2014-LecheMilkBathDuo.mp4",MSU-150913-MatineeLasVegasFestival2014-LecheMilkBathDuo.mp4,intuitive-movement_reminder_bro_2.mp4,19.49,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_bro_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_bro_2.mp4
intuitive-movement,Intuitive Movement,bro,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-100714-HotBuilderStripper.mp4",MSU-100714-HotBuilderStripper.mp4,intuitive-movement_reminder_bro_3.mp4,20.52,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_bro_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_bro_3.mp4
intuitive-movement,Intuitive Movement,sergeant,1,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/MSU-100315-OutdoorPartyStrippers.mp4,MSU-100315-OutdoorPartyStrippers.mp4,intuitive-movement_reminder_sergeant_1.mp4,19.47,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_sergeant_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_sergeant_1.mp4
intuitive-movement,Intuitive Movement,sergeant,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-RAIDD BAR/MSU-190921-RaiddBarParis-HotShowerStripperFlashingHardCock.mp4",MSU-190921-RaiddBarParis-HotShowerStripperFlashingHardCock.mp4,intuitive-movement_reminder_sergeant_2.mp4,19.43,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_sergeant_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_sergeant_2.mp4
intuitive-movement,Intuitive Movement,sergeant,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/UK STRIPPERS/MSU-LoveChildUK-FeaturingBelAmiBoys-8.mp4",MSU-LoveChildUK-FeaturingBelAmiBoys-8.mp4,intuitive-movement_reminder_sergeant_3.mp4,20.58,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_sergeant_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_sergeant_3.mp4
intuitive-movement,Intuitive Movement,intellectual,1,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/STUDIO- SHARPSHOOTER/MSU-100115-HunkyGymnastStrips-2.mp4,MSU-100115-HunkyGymnastStrips-2.mp4,intuitive-movement_reminder_intellectual_1.mp4,20.64,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_intellectual_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_intellectual_1.mp4
